feature,mean_abs_shap,rank,rf_importance,rf_rank
Bwd Packet Length Std,0.03199377624418659,1,0.0606019067230314,4
Init Bwd Win Bytes,0.02853546658666899,2,0.01153545202558397,23
Bwd Packet Length Mean,0.027811626452670924,3,0.07238918964300693,3
Packet Length Variance,0.02461849905539651,4,0.10538869448061641,1
Fwd IAT Min,0.023699396016449423,5,0.011645839225502313,22
Avg Packet Size,0.020886675114940596,6,0.07522788490888627,2
Fwd IAT Total,0.020051193661867625,7,0.03429009857370615,8
Avg Bwd Segment Size,0.019976886159923483,8,0.05638646251480347,7
Bwd Packet Length Max,0.018956745523692878,9,0.05664030566031402,6
Bwd Packets Length Total,0.01858170600841773,10,0.022152506172707538,17
Packet Length Std,0.017628157549147785,11,0.057113333745398835,5
Fwd IAT Max,0.01619023917001522,12,0.02318493061853401,15
Fwd IAT Mean,0.015735154101697055,13,0.026906672563960746,12
Fwd Packet Length Mean,0.014912374999460926,14,0.015578864450786876,19
Fwd IAT Std,0.014740182235746095,15,0.02304550032159183,16
Bwd Packets/s,0.014459627726611687,16,0.025444702396003507,13
Packet Length Mean,0.013539093208918294,17,0.03321562017245735,10
Avg Fwd Segment Size,0.013313856595169277,18,0.006672652487071121,32
Packet Length Max,0.013167470272647183,19,0.033744089964610806,9
Subflow Bwd Bytes,0.013062299369899522,20,0.030283487324401594,11
Fwd Packet Length Max,0.012465319841128657,21,0.011533731523241574,24
Total Backward Packets,0.012297042324333186,22,0.02328449864100111,14
Subflow Fwd Bytes,0.01170729536209437,23,0.007135190464513642,31
Subflow Fwd Packets,0.01137082922055568,24,0.02184031692037765,18
Init Fwd Win Bytes,0.010872572862001382,25,0.009849173064265426,27
PSH Flag Count,0.010125435399190173,26,0.0019943781168079854,50
Flow Duration,0.009631168260082123,27,0.010999083215630898,26
Packet Length Min,0.009344340148726446,28,0.0076985359827569984,28
Fwd Packets Length Total,0.009056453797534909,29,0.007446390969396383,30
Flow IAT Std,0.008691109772647757,30,0.012480003803564127,21
Fwd Seg Size Min,0.00868095727726039,31,0.002611967606696694,43
Total Fwd Packets,0.008533566572202802,32,0.015002903364117921,20
Flow IAT Mean,0.008141109005773287,33,0.007463919086757784,29
Bwd IAT Std,0.008130781800801875,34,0.001790652755615239,51
Flow Bytes/s,0.0071575512013628,35,0.0035672384803447617,39
Subflow Bwd Packets,0.00698519498356406,36,0.011291296653525403,25
Flow IAT Max,0.006744600911886212,37,0.005139626178426009,33
Flow IAT Min,0.006615632421416481,38,0.0038319798472064544,38
Bwd IAT Max,0.0065638820022577765,39,0.004541333382741654,35
Idle Max,0.006468729372714103,40,0.003992574345795475,37
Bwd IAT Total,0.0064450159822422946,41,0.002396120237180049,46
Bwd Header Length,0.005949295319784411,42,0.0033246646517261468,40
Bwd Packet Length Min,0.005702605215532275,43,0.0011352576051917756,58
Flow Packets/s,0.005629643409177126,44,0.004356250889538536,36
Fwd Packet Length Min,0.00510672787754793,45,0.00248803799342376,45
Fwd Packets/s,0.004859820076723333,46,0.005020039261083503,34
Fwd Act Data Packets,0.004225525737842841,47,0.0031487291853397477,42
ACK Flag Count,0.004135545201126315,48,0.0010594802282907231,59
Idle Mean,0.003944113926473401,49,0.0017146010010234884,53
Active Min,0.003794550886356809,50,0.0020357795051782167,49
Active Mean,0.0036612988725417284,51,0.0020637078896437403,48
Bwd IAT Mean,0.00343629712478015,52,0.0011733079751375167,57
Bwd IAT Min,0.0031012749454235626,53,0.0017762390001883647,52
Fwd Packet Length Std,0.0029188078133570634,54,0.0032372659397924696,41
Down/Up Ratio,0.0025719574377857947,55,0.002102017156567057,47
Idle Min,0.002514024878765127,56,0.0013160757653035242,54
Active Max,0.0020525663181112323,57,0.0011913001094062685,56
FIN Flag Count,0.001713396575829643,58,0.0025671580530231943,44
SYN Flag Count,0.0012054648521543881,59,0.0005675442288737135,61
URG Flag Count,0.0011733896386672748,60,0.0012170245160347706,55
Active Std,0.000833920607162655,61,0.000674088792085499,60
Fwd PSH Flags,0.0006252810722318126,62,0.00022475645469485038,62
Idle Std,0.0005727836460467948,63,0.00018338528870982853,63
Fwd Header Length,0.0001990832614263429,64,8.367502366505317e-05,64
CWE Flag Count,2.7692213253169743e-07,65,1.7184471516341459e-07,66
Fwd URG Flags,1.0208006104622324e-07,66,2.7496747226785164e-07,65
ECE Flag Count,4.342281634939242e-09,67,2.9043092625119246e-08,67
RST Flag Count,3.5346640190680913e-09,68,2.9017859648173937e-08,68
Bwd PSH Flags,0.0,69,0.0,69
Bwd URG Flags,0.0,70,0.0,70
Bwd Avg Bulk Rate,0.0,71,0.0,71
Bwd Avg Packets/Bulk,0.0,72,0.0,72
Fwd Avg Packets/Bulk,0.0,73,0.0,73
Fwd Avg Bytes/Bulk,0.0,74,0.0,74
Bwd Avg Bytes/Bulk,0.0,75,0.0,75
Fwd Avg Bulk Rate,0.0,76,0.0,76
